Unnamed: 0,publishedAt,title,source,sentiment_score
0,2025-01-28T16:15:30Z,Remember When Nanotech Was the Next Big Thing?,"{'id': None, 'name': 'Gizmodo.com'}",5
1,2024-12-30T15:53:47Z,The US stock market will close on January 9 in remembrance of Jimmy Carter,"{'id': 'business-insider', 'name': 'Business Insider'}",5
2,2025-01-22T15:33:56Z,"Jamie Dimon sounds the alarm on stocks, says the market is looking 'kind of inflated'","{'id': 'business-insider', 'name': 'Business Insider'}",3
3,2025-01-27T18:38:48Z,Intel's former CEO says the market is getting DeepSeek wrong after AI chip stock rout,"{'id': 'business-insider', 'name': 'Business Insider'}",4
4,2024-12-30T17:47:07Z,'Due for a full-blown correction': Why one CIO expects a 15% stock-market pullback early in 2025 — and how to prepare,"{'id': 'business-insider', 'name': 'Business Insider'}",3
5,2025-01-23T21:45:36Z,"Walmart's multi-store managers can now make up to $620,000","{'id': 'business-insider', 'name': 'Business Insider'}",8
6,2025-01-03T17:49:47Z,"Watch the NVIDIA CES 2025 press conference live: Monday, 9:30PM ET","{'id': None, 'name': 'Yahoo Entertainment'}",5
7,2025-01-08T00:50:19Z,"Dow Jones Futures: Stock Market Sells Off As Nvidia, Palantir Tumble; What To Do Now","{'id': None, 'name': ""Investor's Business Daily""}",3
8,2025-01-27T16:43:15Z,U.S. stock markets tumble as investors worry about DeepSeek,"{'id': None, 'name': 'NPR'}",3
9,2025-01-29T11:30:00Z,Tech stocks stage partial recovery after market rout sparked by DeepSeek's rise,"{'id': 'business-insider', 'name': 'Business Insider'}",7
10,2025-01-21T21:09:37Z,Apple's China problems keep weighing on the stock,"{'id': 'business-insider', 'name': 'Business Insider'}",3
11,2025-01-10T14:31:01Z,"Stock market today: Dow, S&P 500, Nasdaq sink as jobs report blows past expectations","{'id': None, 'name': 'Yahoo Entertainment'}",3
12,2025-01-27T14:31:16Z,"Stock market today: Nasdaq clobbered, S&P 500 tumbles as AI fears rock Nvidia, tech stocks","{'id': None, 'name': 'Yahoo Entertainment'}",2
13,2025-01-14T12:00:00Z,Worried About a Stock Market Crash? Here's What Warren Buffett Has to Say About It.,"{'id': None, 'name': 'Yahoo Entertainment'}",5
14,2024-12-31T22:12:16Z,Dow Jones Futures: Stock Market Ends 2024 On Weak Note; Tesla Deliveries Due,"{'id': None, 'name': ""Investor's Business Daily""}",4
15,2025-01-10T14:31:01Z,"Stock market today: Dow, S&P 500, Nasdaq sell off amid jobs report surprise, inflation worries","{'id': None, 'name': 'Yahoo Entertainment'}",3
16,2025-01-26T14:00:37Z,4 Things Warren Buffett Would Likely Do After a Stock Market Crash,"{'id': None, 'name': 'Yahoo Entertainment'}",5
17,2025-01-03T22:50:20Z,Newmont Corporation (NEM) Stock Declines While Market Improves: Some Information for Investors,"{'id': None, 'name': 'Yahoo Entertainment'}",3
18,2025-01-15T13:12:43Z,Honor’s Magic 7 Pro looks flagship through and through,"{'id': 'the-verge', 'name': 'The Verge'}",8
19,2025-01-03T11:07:44Z,3 US Dividend Stocks With Up To 4.8% Yield To Enhance Your Portfolio,"{'id': None, 'name': 'Yahoo Entertainment'}",8
